parameter,location,species,year,datavalue
LGL counts,Douglas-Gardner,Chum,1995,516271
LGL counts,Douglas-Gardner,Chum,1996,158786
LGL counts,Douglas-Gardner,Chum,1997,105816
LGL counts,Douglas-Gardner,Chum,1998,1146392
LGL counts,Douglas-Gardner,Chum,1999,162436
LGL counts,Douglas-Gardner,Chum,2000,147621
LGL counts,Douglas-Gardner,Chum,2001,176704
LGL counts,Douglas-Gardner,Chum,2002,844892
LGL counts,Douglas-Gardner,Chum,2003,698617
LGL counts,Douglas-Gardner,Chum,2004,412519
LGL counts,Douglas-Gardner,Chum,2005,155094
LGL counts,Douglas-Gardner,Chum,2006,384569
LGL counts,Douglas-Gardner,Chum,2007,98697
LGL counts,Douglas-Gardner,Chum,2008,22247
LGL counts,Douglas-Gardner,Chum,2009,84009
LGL counts,Douglas-Gardner,Chum,2010,50706
LGL counts,Douglas-Gardner,Chum,2011,183673
LGL counts,Douglas-Gardner,Chum,2012,262745
LGL counts,Douglas-Gardner,Chum,2013,34041
LGL counts,Douglas-Gardner,Chum,2014,47365
LGL counts,Hecate Lowlands,Chum,1954,317836
LGL counts,Hecate Lowlands,Chum,1955,102379
LGL counts,Hecate Lowlands,Chum,1956,96632
LGL counts,Hecate Lowlands,Chum,1957,313302
LGL counts,Hecate Lowlands,Chum,1958,219751
LGL counts,Hecate Lowlands,Chum,1959,20270
LGL counts,Hecate Lowlands,Chum,1960,174546
LGL counts,Hecate Lowlands,Chum,1961,90171
LGL counts,Hecate Lowlands,Chum,1962,196452
LGL counts,Hecate Lowlands,Chum,1963,120056
LGL counts,Hecate Lowlands,Chum,1964,316082
LGL counts,Hecate Lowlands,Chum,1965,92299
LGL counts,Hecate Lowlands,Chum,1966,106039
LGL counts,Hecate Lowlands,Chum,1967,102779
LGL counts,Hecate Lowlands,Chum,1968,162700
LGL counts,Hecate Lowlands,Chum,1969,57994
LGL counts,Hecate Lowlands,Chum,1970,134960
LGL counts,Hecate Lowlands,Chum,1971,103593
LGL counts,Hecate Lowlands,Chum,1972,125555
LGL counts,Hecate Lowlands,Chum,1973,183181
LGL counts,Hecate Lowlands,Chum,1974,60537
LGL counts,Hecate Lowlands,Chum,1975,89828
LGL counts,Hecate Lowlands,Chum,1976,44475
LGL counts,Hecate Lowlands,Chum,1977,108475
LGL counts,Hecate Lowlands,Chum,1978,111804
LGL counts,Hecate Lowlands,Chum,1979,91316
LGL counts,Hecate Lowlands,Chum,1980,60249
LGL counts,Hecate Lowlands,Chum,1981,82515
LGL counts,Hecate Lowlands,Chum,1982,111993
LGL counts,Hecate Lowlands,Chum,1983,86066
LGL counts,Hecate Lowlands,Chum,1984,95607
LGL counts,Hecate Lowlands,Chum,1985,177644
LGL counts,Hecate Lowlands,Chum,1986,165520
LGL counts,Hecate Lowlands,Chum,1987,93612
LGL counts,Hecate Lowlands,Chum,1988,137354
LGL counts,Hecate Lowlands,Chum,1989,123090
LGL counts,Hecate Lowlands,Chum,1990,167413
LGL counts,Hecate Lowlands,Chum,1991,87058
LGL counts,Hecate Lowlands,Chum,1992,48538
LGL counts,Hecate Lowlands,Chum,1993,72527
LGL counts,Hecate Lowlands,Chum,1994,71832
LGL counts,Hecate Lowlands,Chum,1995,123600
LGL counts,Hecate Lowlands,Chum,1996,124998
LGL counts,Hecate Lowlands,Chum,1997,104521
LGL counts,Hecate Lowlands,Chum,1998,275959
LGL counts,Hecate Lowlands,Chum,1999,67859
LGL counts,Hecate Lowlands,Chum,2000,54311
LGL counts,Hecate Lowlands,Chum,2001,88381
LGL counts,Hecate Lowlands,Chum,2002,118510
LGL counts,Hecate Lowlands,Chum,2003,128606
LGL counts,Hecate Lowlands,Chum,2004,144752
LGL counts,Hecate Lowlands,Chum,2005,84611
LGL counts,Hecate Lowlands,Chum,2006,112062
LGL counts,Hecate Lowlands,Chum,2007,57828
LGL counts,Hecate Lowlands,Chum,2008,74997
LGL counts,Hecate Lowlands,Chum,2009,122692
LGL counts,Hecate Lowlands,Chum,2010,88804
LGL counts,Hecate Lowlands,Chum,2011,113839
LGL counts,Hecate Lowlands,Chum,2012,75080
LGL counts,Hecate Lowlands,Chum,2013,83960
LGL counts,Hecate Lowlands,Chum,2014,61653
LGL counts,Lower Nass,Chum,1958,67749
LGL counts,Lower Nass,Chum,1959,149049
LGL counts,Lower Nass,Chum,1960,94849
LGL counts,Lower Nass,Chum,1961,203248
LGL counts,Lower Nass,Chum,1963,54200
LGL counts,Lower Nass,Chum,1964,406496
LGL counts,Lower Nass,Chum,1965,54200
LGL counts,Lower Nass,Chum,1966,203248
LGL counts,Lower Nass,Chum,1967,203248
LGL counts,Lower Nass,Chum,1968,6775
LGL counts,Lower Nass,Chum,1970,20325
LGL counts,Lower Nass,Chum,1974,2710
LGL counts,Lower Nass,Chum,1976,13550
LGL counts,Lower Nass,Chum,1981,2710
LGL counts,Lower Nass,Chum,1982,6775
LGL counts,Lower Nass,Chum,1983,5420
LGL counts,Lower Nass,Chum,1987,6775
LGL counts,Lower Nass,Chum,1988,27100
LGL counts,Lower Nass,Chum,1989,5420
LGL counts,Lower Nass,Chum,1990,5420
LGL counts,Lower Nass,Chum,1991,5420
LGL counts,Lower Nass,Chum,2005,18970
LGL counts,Lower Nass,Chum,2009,13821
LGL counts,Lower Nass,Chum,2010,18428
LGL counts,Lower Nass,Chum,2011,21680
LGL counts,Lower Nass,Chum,2012,8672
LGL counts,Lower Nass,Chum,2013,5420
LGL counts,Lower Nass,Chum,2014,6775
LGL counts,Lower Skeena-CM,Chum,1954,34152
LGL counts,Lower Skeena-CM,Chum,1955,514
LGL counts,Lower Skeena-CM,Chum,1956,6213
LGL counts,Lower Skeena-CM,Chum,1957,3455
LGL counts,Lower Skeena-CM,Chum,1958,6867
LGL counts,Lower Skeena-CM,Chum,1961,78561
LGL counts,Lower Skeena-CM,Chum,1962,17293
LGL counts,Lower Skeena-CM,Chum,1963,8901
LGL counts,Lower Skeena-CM,Chum,1964,8776
LGL counts,Lower Skeena-CM,Chum,1965,8754
LGL counts,Lower Skeena-CM,Chum,1966,32639
LGL counts,Lower Skeena-CM,Chum,1967,26686
LGL counts,Lower Skeena-CM,Chum,1968,18712
LGL counts,Lower Skeena-CM,Chum,1969,18270
LGL counts,Lower Skeena-CM,Chum,1970,19308
LGL counts,Lower Skeena-CM,Chum,1971,7038
LGL counts,Lower Skeena-CM,Chum,1972,55159
LGL counts,Lower Skeena-CM,Chum,1973,37606
LGL counts,Lower Skeena-CM,Chum,1974,16223
LGL counts,Lower Skeena-CM,Chum,1975,13138
LGL counts,Lower Skeena-CM,Chum,1976,14734
LGL counts,Lower Skeena-CM,Chum,1977,14787
LGL counts,Lower Skeena-CM,Chum,1978,10159
LGL counts,Lower Skeena-CM,Chum,1979,7734
LGL counts,Lower Skeena-CM,Chum,1980,39361
LGL counts,Lower Skeena-CM,Chum,1981,17968
LGL counts,Lower Skeena-CM,Chum,1982,9390
LGL counts,Lower Skeena-CM,Chum,1983,2330
LGL counts,Lower Skeena-CM,Chum,1984,55531
LGL counts,Lower Skeena-CM,Chum,1985,23000
LGL counts,Lower Skeena-CM,Chum,1986,16266
LGL counts,Lower Skeena-CM,Chum,1987,8511
LGL counts,Lower Skeena-CM,Chum,1988,169087
LGL counts,Lower Skeena-CM,Chum,1989,33936
LGL counts,Lower Skeena-CM,Chum,1990,6265
LGL counts,Lower Skeena-CM,Chum,1991,4394
LGL counts,Lower Skeena-CM,Chum,1992,7047
LGL counts,Lower Skeena-CM,Chum,1993,18257
LGL counts,Lower Skeena-CM,Chum,1994,15065
LGL counts,Lower Skeena-CM,Chum,1995,14942
LGL counts,Lower Skeena-CM,Chum,1996,16017
LGL counts,Lower Skeena-CM,Chum,1997,45041
LGL counts,Lower Skeena-CM,Chum,1998,29239
LGL counts,Lower Skeena-CM,Chum,1999,6168
LGL counts,Lower Skeena-CM,Chum,2000,10279
LGL counts,Lower Skeena-CM,Chum,2001,19011
LGL counts,Lower Skeena-CM,Chum,2002,7307
LGL counts,Lower Skeena-CM,Chum,2003,9588
LGL counts,Lower Skeena-CM,Chum,2004,24859
LGL counts,Lower Skeena-CM,Chum,2005,24258
LGL counts,Lower Skeena-CM,Chum,2007,7939
LGL counts,Lower Skeena-CM,Chum,2008,3969
LGL counts,Lower Skeena-CM,Chum,2009,5011
LGL counts,Lower Skeena-CM,Chum,2010,4555
LGL counts,Lower Skeena-CM,Chum,2011,7174
LGL counts,Lower Skeena-CM,Chum,2012,4589
LGL counts,Lower Skeena-CM,Chum,2013,1118
LGL counts,Lower Skeena-CM,Chum,2014,1770
LGL counts,Middle Skeena-CM,Chum,1954,51186
LGL counts,Middle Skeena-CM,Chum,1955,21937
LGL counts,Middle Skeena-CM,Chum,1956,51186
LGL counts,Middle Skeena-CM,Chum,1957,5850
LGL counts,Middle Skeena-CM,Chum,1958,5850
LGL counts,Middle Skeena-CM,Chum,1959,10968
LGL counts,Middle Skeena-CM,Chum,1960,266
LGL counts,Middle Skeena-CM,Chum,1961,366
LGL counts,Middle Skeena-CM,Chum,1962,133
LGL counts,Middle Skeena-CM,Chum,1964,1532
LGL counts,Middle Skeena-CM,Chum,1965,1132
LGL counts,Middle Skeena-CM,Chum,1966,599
LGL counts,Middle Skeena-CM,Chum,1967,489
LGL counts,Middle Skeena-CM,Chum,1968,1097
LGL counts,Middle Skeena-CM,Chum,1969,266
LGL counts,Middle Skeena-CM,Chum,1970,286
LGL counts,Middle Skeena-CM,Chum,1971,286
LGL counts,Middle Skeena-CM,Chum,1972,2531
LGL counts,Middle Skeena-CM,Chum,1973,1265
LGL counts,Middle Skeena-CM,Chum,1974,1598
LGL counts,Middle Skeena-CM,Chum,1975,1066
LGL counts,Middle Skeena-CM,Chum,1976,400
LGL counts,Middle Skeena-CM,Chum,1977,599
LGL counts,Middle Skeena-CM,Chum,1978,599
LGL counts,Middle Skeena-CM,Chum,1981,5939
LGL counts,Middle Skeena-CM,Chum,1982,2376
LGL counts,Middle Skeena-CM,Chum,1983,2376
LGL counts,Middle Skeena-CM,Chum,1984,5408
LGL counts,Middle Skeena-CM,Chum,1985,8315
LGL counts,Middle Skeena-CM,Chum,1986,2021
LGL counts,Middle Skeena-CM,Chum,1987,1212
LGL counts,Middle Skeena-CM,Chum,1988,13471
LGL counts,Middle Skeena-CM,Chum,1989,4041
LGL counts,Middle Skeena-CM,Chum,1990,4262
LGL counts,Middle Skeena-CM,Chum,1991,4196
LGL counts,Middle Skeena-CM,Chum,1992,3330
LGL counts,Middle Skeena-CM,Chum,1993,1630
LGL counts,Middle Skeena-CM,Chum,1994,1440
LGL counts,Middle Skeena-CM,Chum,1995,1008
LGL counts,Middle Skeena-CM,Chum,1996,864
LGL counts,Middle Skeena-CM,Chum,1997,576
LGL counts,Middle Skeena-CM,Chum,1998,1152
LGL counts,Middle Skeena-CM,Chum,2003,3274
LGL counts,Middle Skeena-CM,Chum,2004,3638
LGL counts,Middle Skeena-CM,Chum,2005,3474
LGL counts,Middle Skeena-CM,Chum,2006,1278
LGL counts,Middle Skeena-CM,Chum,2007,660
LGL counts,Middle Skeena-CM,Chum,2008,280
LGL counts,Middle Skeena-CM,Chum,2009,1547
LGL counts,Middle Skeena-CM,Chum,2010,707
LGL counts,Middle Skeena-CM,Chum,2011,858
LGL counts,Middle Skeena-CM,Chum,2012,795
LGL counts,Middle Skeena-CM,Chum,2013,1058
LGL counts,Middle Skeena-CM,Chum,2014,789
LGL counts,Mussel-Kynock,Chum,1954,164085
LGL counts,Mussel-Kynock,Chum,1955,106048
LGL counts,Mussel-Kynock,Chum,1956,49513
LGL counts,Mussel-Kynock,Chum,1957,71258
LGL counts,Mussel-Kynock,Chum,1958,257316
LGL counts,Mussel-Kynock,Chum,1959,41878
LGL counts,Mussel-Kynock,Chum,1960,110958
LGL counts,Mussel-Kynock,Chum,1961,43575
LGL counts,Mussel-Kynock,Chum,1962,144468
LGL counts,Mussel-Kynock,Chum,1963,90974
LGL counts,Mussel-Kynock,Chum,1964,137889
LGL counts,Mussel-Kynock,Chum,1965,53604
LGL counts,Mussel-Kynock,Chum,1966,112424
LGL counts,Mussel-Kynock,Chum,1967,157580
LGL counts,Mussel-Kynock,Chum,1968,194804
LGL counts,Mussel-Kynock,Chum,1969,80418
LGL counts,Mussel-Kynock,Chum,1970,120561
LGL counts,Mussel-Kynock,Chum,1971,81437
LGL counts,Mussel-Kynock,Chum,1972,118310
LGL counts,Mussel-Kynock,Chum,1973,212839
LGL counts,Mussel-Kynock,Chum,1974,162513
LGL counts,Mussel-Kynock,Chum,1975,72225
LGL counts,Mussel-Kynock,Chum,1976,39581
LGL counts,Mussel-Kynock,Chum,1977,15114
LGL counts,Mussel-Kynock,Chum,1978,125517
LGL counts,Mussel-Kynock,Chum,1979,51335
LGL counts,Mussel-Kynock,Chum,1980,60943
LGL counts,Mussel-Kynock,Chum,1981,117226
LGL counts,Mussel-Kynock,Chum,1982,102654
LGL counts,Mussel-Kynock,Chum,1983,47073
LGL counts,Mussel-Kynock,Chum,1984,47776
LGL counts,Mussel-Kynock,Chum,1985,123536
LGL counts,Mussel-Kynock,Chum,1986,171672
LGL counts,Mussel-Kynock,Chum,1987,80879
LGL counts,Mussel-Kynock,Chum,1988,120949
LGL counts,Mussel-Kynock,Chum,1989,110953
LGL counts,Mussel-Kynock,Chum,1990,87334
LGL counts,Mussel-Kynock,Chum,1991,130686
LGL counts,Mussel-Kynock,Chum,1992,29698
LGL counts,Mussel-Kynock,Chum,1993,37148
LGL counts,Mussel-Kynock,Chum,1994,98344
LGL counts,Mussel-Kynock,Chum,1995,191371
LGL counts,Mussel-Kynock,Chum,1996,109279
LGL counts,Mussel-Kynock,Chum,1997,101673
LGL counts,Mussel-Kynock,Chum,1998,267973
LGL counts,Mussel-Kynock,Chum,1999,131791
LGL counts,Mussel-Kynock,Chum,2000,127125
LGL counts,Mussel-Kynock,Chum,2001,210851
LGL counts,Mussel-Kynock,Chum,2002,159466
LGL counts,Mussel-Kynock,Chum,2003,252815
LGL counts,Mussel-Kynock,Chum,2004,177078
LGL counts,Mussel-Kynock,Chum,2005,178436
LGL counts,Mussel-Kynock,Chum,2006,121902
LGL counts,Mussel-Kynock,Chum,2007,60726
LGL counts,Mussel-Kynock,Chum,2008,31737
LGL counts,Mussel-Kynock,Chum,2009,33646
LGL counts,Mussel-Kynock,Chum,2010,38895
LGL counts,Mussel-Kynock,Chum,2011,206392
LGL counts,Mussel-Kynock,Chum,2012,108962
LGL counts,Mussel-Kynock,Chum,2013,118469
LGL counts,Mussel-Kynock,Chum,2014,74902
LGL counts,Portland Canal-Observatory,Chum,1954,15177
LGL counts,Portland Canal-Observatory,Chum,1955,7630
LGL counts,Portland Canal-Observatory,Chum,1956,37119
LGL counts,Portland Canal-Observatory,Chum,1957,56252
LGL counts,Portland Canal-Observatory,Chum,1958,61534
LGL counts,Portland Canal-Observatory,Chum,1959,191176
LGL counts,Portland Canal-Observatory,Chum,1960,57023
LGL counts,Portland Canal-Observatory,Chum,1961,92384
LGL counts,Portland Canal-Observatory,Chum,1962,6537
LGL counts,Portland Canal-Observatory,Chum,1963,51635
LGL counts,Portland Canal-Observatory,Chum,1964,50879
LGL counts,Portland Canal-Observatory,Chum,1965,21776
LGL counts,Portland Canal-Observatory,Chum,1966,14847
LGL counts,Portland Canal-Observatory,Chum,1967,13717
LGL counts,Portland Canal-Observatory,Chum,1968,24348
LGL counts,Portland Canal-Observatory,Chum,1969,9898
LGL counts,Portland Canal-Observatory,Chum,1970,14353
LGL counts,Portland Canal-Observatory,Chum,1971,16992
LGL counts,Portland Canal-Observatory,Chum,1972,47017
LGL counts,Portland Canal-Observatory,Chum,1973,50375
LGL counts,Portland Canal-Observatory,Chum,1974,136927
LGL counts,Portland Canal-Observatory,Chum,1975,27706
LGL counts,Portland Canal-Observatory,Chum,1976,70351
LGL counts,Portland Canal-Observatory,Chum,1977,52443
LGL counts,Portland Canal-Observatory,Chum,1978,58359
LGL counts,Portland Canal-Observatory,Chum,1979,50937
LGL counts,Portland Canal-Observatory,Chum,1980,53767
LGL counts,Portland Canal-Observatory,Chum,1981,15721
LGL counts,Portland Canal-Observatory,Chum,1982,18622
LGL counts,Portland Canal-Observatory,Chum,1983,47754
LGL counts,Portland Canal-Observatory,Chum,1984,56126
LGL counts,Portland Canal-Observatory,Chum,1985,38912
LGL counts,Portland Canal-Observatory,Chum,1986,42254
LGL counts,Portland Canal-Observatory,Chum,1987,35574
LGL counts,Portland Canal-Observatory,Chum,1988,28564
LGL counts,Portland Canal-Observatory,Chum,1989,40028
LGL counts,Portland Canal-Observatory,Chum,1990,41016
LGL counts,Portland Canal-Observatory,Chum,1991,26710
LGL counts,Portland Canal-Observatory,Chum,1992,28063
LGL counts,Portland Canal-Observatory,Chum,1993,98281
LGL counts,Portland Canal-Observatory,Chum,1994,73816
LGL counts,Portland Canal-Observatory,Chum,1995,49051
LGL counts,Portland Canal-Observatory,Chum,1996,25500
LGL counts,Portland Canal-Observatory,Chum,1997,22454
LGL counts,Portland Canal-Observatory,Chum,1998,153858
LGL counts,Portland Canal-Observatory,Chum,1999,35179
LGL counts,Portland Canal-Observatory,Chum,2000,18466
LGL counts,Portland Canal-Observatory,Chum,2001,30223
LGL counts,Portland Canal-Observatory,Chum,2002,14712
LGL counts,Portland Canal-Observatory,Chum,2003,64366
LGL counts,Portland Canal-Observatory,Chum,2004,49267
LGL counts,Portland Canal-Observatory,Chum,2005,30012
LGL counts,Portland Canal-Observatory,Chum,2006,51411
LGL counts,Portland Canal-Observatory,Chum,2007,10971
LGL counts,Portland Canal-Observatory,Chum,2008,3045
LGL counts,Portland Canal-Observatory,Chum,2009,20176
LGL counts,Portland Canal-Observatory,Chum,2010,8435
LGL counts,Portland Canal-Observatory,Chum,2011,6198
LGL counts,Portland Canal-Observatory,Chum,2012,15673
LGL counts,Portland Canal-Observatory,Chum,2013,14367
LGL counts,Portland Canal-Observatory,Chum,2014,20309
LGL counts,Portland Inlet,Chum,1954,21704
LGL counts,Portland Inlet,Chum,1955,4324
LGL counts,Portland Inlet,Chum,1956,18528
LGL counts,Portland Inlet,Chum,1957,33234
LGL counts,Portland Inlet,Chum,1958,22891
LGL counts,Portland Inlet,Chum,1959,15622
LGL counts,Portland Inlet,Chum,1960,16567
LGL counts,Portland Inlet,Chum,1961,21161
LGL counts,Portland Inlet,Chum,1962,61409
LGL counts,Portland Inlet,Chum,1963,40165
LGL counts,Portland Inlet,Chum,1964,75517
LGL counts,Portland Inlet,Chum,1965,22310
LGL counts,Portland Inlet,Chum,1966,33194
LGL counts,Portland Inlet,Chum,1967,23134
LGL counts,Portland Inlet,Chum,1968,44180
LGL counts,Portland Inlet,Chum,1969,26555
LGL counts,Portland Inlet,Chum,1970,34742
LGL counts,Portland Inlet,Chum,1971,21402
LGL counts,Portland Inlet,Chum,1972,63021
LGL counts,Portland Inlet,Chum,1973,45246
LGL counts,Portland Inlet,Chum,1974,51441
LGL counts,Portland Inlet,Chum,1975,20638
LGL counts,Portland Inlet,Chum,1976,22623
LGL counts,Portland Inlet,Chum,1977,40072
LGL counts,Portland Inlet,Chum,1978,35712
LGL counts,Portland Inlet,Chum,1979,11150
LGL counts,Portland Inlet,Chum,1980,20811
LGL counts,Portland Inlet,Chum,1981,7039
LGL counts,Portland Inlet,Chum,1982,11783
LGL counts,Portland Inlet,Chum,1983,16067
LGL counts,Portland Inlet,Chum,1984,32134
LGL counts,Portland Inlet,Chum,1985,33707
LGL counts,Portland Inlet,Chum,1986,5891
LGL counts,Portland Inlet,Chum,1987,11553
LGL counts,Portland Inlet,Chum,1988,42233
LGL counts,Portland Inlet,Chum,1989,12755
LGL counts,Portland Inlet,Chum,1990,7108
LGL counts,Portland Inlet,Chum,1991,19013
LGL counts,Portland Inlet,Chum,1992,11055
LGL counts,Portland Inlet,Chum,1993,27208
LGL counts,Portland Inlet,Chum,1994,16680
LGL counts,Portland Inlet,Chum,1995,13401
LGL counts,Portland Inlet,Chum,1996,9681
LGL counts,Portland Inlet,Chum,1997,12576
LGL counts,Portland Inlet,Chum,1998,63836
LGL counts,Portland Inlet,Chum,1999,18074
LGL counts,Portland Inlet,Chum,2000,16969
LGL counts,Portland Inlet,Chum,2001,18213
LGL counts,Portland Inlet,Chum,2002,15972
LGL counts,Portland Inlet,Chum,2003,8173
LGL counts,Portland Inlet,Chum,2004,39208
LGL counts,Portland Inlet,Chum,2005,20604
LGL counts,Portland Inlet,Chum,2006,22927
LGL counts,Portland Inlet,Chum,2007,18278
LGL counts,Portland Inlet,Chum,2008,21100
LGL counts,Portland Inlet,Chum,2009,14218
LGL counts,Portland Inlet,Chum,2010,8731
LGL counts,Portland Inlet,Chum,2011,9599
LGL counts,Portland Inlet,Chum,2012,13791
LGL counts,Portland Inlet,Chum,2013,10467
LGL counts,Portland Inlet,Chum,2014,13184
LGL counts,Rivers Inlet,Chum,1954,25165
LGL counts,Rivers Inlet,Chum,1955,3600
LGL counts,Rivers Inlet,Chum,1956,11294
LGL counts,Rivers Inlet,Chum,1957,16342
LGL counts,Rivers Inlet,Chum,1958,95202
LGL counts,Rivers Inlet,Chum,1959,8874
LGL counts,Rivers Inlet,Chum,1960,19019
LGL counts,Rivers Inlet,Chum,1961,15132
LGL counts,Rivers Inlet,Chum,1962,19774
LGL counts,Rivers Inlet,Chum,1963,19585
LGL counts,Rivers Inlet,Chum,1964,22792
LGL counts,Rivers Inlet,Chum,1965,1253
LGL counts,Rivers Inlet,Chum,1966,58755
LGL counts,Rivers Inlet,Chum,1967,11049
LGL counts,Rivers Inlet,Chum,1968,17271
LGL counts,Rivers Inlet,Chum,1969,3009
LGL counts,Rivers Inlet,Chum,1970,24819
LGL counts,Rivers Inlet,Chum,1971,12483
LGL counts,Rivers Inlet,Chum,1972,24665
LGL counts,Rivers Inlet,Chum,1973,10825
